Date,Open,High,Low,Close,Volume,Adjusted,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2017-11-30,9906.79,10801.0,9202.05,10233.6,8310689792.0,10233.599609375,9888.61,10058.8,9818.35,1598.95,1916.37,389.4,465.63,-326.81,188.79,-235.37,-465.63,11568799744.0,6348819968.0,5653320192.0,9799.624,9454.407,8888.208,0.03429276074330862,1
2017-12-01,10198.6,11046.7,9694.65,10975.6,6783119872.0,10975.599609375,10233.6,9888.61,10058.8,1352.05,1598.95,1916.37,389.4,-777.0,-326.81,188.79,-235.37,8310689792.0,11568799744.0,6348819968.0,10016.612,9682.627,9102.264,0.06999820553385039,1
2017-12-02,10978.3,11320.2,10905.1,11074.6,5138500096.0,11074.599609375,10975.6,10233.6,9888.61,415.101,1352.05,1598.95,1916.37,-96.3,-777.0,-326.81,188.79,6783119872.0,8310689792.0,11568799744.0,10496.106,10061.33,9400.319,0.008979571044842705,1
2017-12-03,11082.7,11858.7,10862.0,11323.2,6608309760.0,11323.2001953125,11074.6,10975.6,10233.6,996.7,415.101,1352.05,1598.95,-240.5,-96.3,-777.0,-326.81,5138500096.0,6783119872.0,8310689792.0,10785.353,10358.11,9666.703,0.022199572962955286,1
2017-12-04,11315.4,11657.2,11081.8,11657.2,6132409856.0,11657.2001953125,11323.2,11074.6,10975.6,575.4,996.7,415.101,1352.05,-341.8,-240.5,-96.3,-777.0,6608309760.0,5138500096.0,6783119872.0,11054.276,10640.778,9930.258,0.029070296029922785,1
2017-12-05,11685.7,12032.0,11604.6,11916.7,6895260160.0,11916.7001953125,11657.2,11323.2,11074.6,427.4,575.4,996.7,415.101,-231.0,-341.8,-240.5,-96.3,6132409856.0,6608309760.0,5138500096.0,11355.738,10938.481,10205.02,0.022016762442421917,1
2017-12-06,11923.4,14369.1,11923.4,14291.5,12656300032.0,14291.5,11916.7,11657.2,11323.2,2445.699,427.4,575.4,996.7,-2368.1,-231.0,-341.8,-240.5,6895260160.0,6132409856.0,6608309760.0,11636.219,11224.995,10477.355,0.18172416088180857,1
2017-12-07,14266.1,17899.699,14057.3,17899.699,17950699520.0,17899.69921875,14291.5,11916.7,11657.2,3842.399,2445.699,427.4,575.4,-3633.6,-2368.1,-231.0,-341.8,12656300032.0,6895260160.0,6132409856.0,12963.86,12123.153,11084.199,0.22511895434132784,1
2017-12-08,17802.9,18353.4,14336.9,16569.4,21135998976.0,16569.400390625,17899.699,14291.5,11916.7,4016.5,3842.399,2445.699,427.4,1233.5,-3633.6,-2368.1,-231.0,17950699520.0,12656300032.0,6895260160.0,15431.779,13815.065,12168.569,-0.07722626494389065,0
2017-12-09,16523.301,16783.0,13674.9,15178.2,13911300096.0,15178.2001953125,16569.4,17899.699,14291.5,3108.1,4016.5,3842.399,2445.699,1345.101,1233.5,-3633.6,-2368.1,21135998976.0,17950699520.0,12656300032.0,16000.59,14621.791,12868.757,-0.08769744361032222,0
2017-12-10,15168.4,15850.6,13226.6,15455.4,13433299968.0,15455.400390625,15178.2,16569.4,17899.699,2624.0,3108.1,4016.5,3842.399,-287.0,1345.101,1233.5,-3633.6,13911300096.0,21135998976.0,17950699520.0,15589.395,14784.759,13236.198,0.01809828138568269,1
2017-12-11,15427.4,17513.9,15404.8,16936.801,12153900032.0,16936.80078125,15455.4,15178.2,16569.4,2109.101,2624.0,3108.1,4016.5,-1509.4,-287.0,1345.101,1233.5,13433299968.0,13911300096.0,21135998976.0,15522.398,14981.186,13589.281,0.09153033338474723,1
2017-12-12,16919.801,17781.801,16571.6,17415.4,14603799552.0,17415.400390625,16936.801,15455.4,15178.2,1210.201,2109.101,2624.0,3108.1,-495.6,-1509.4,-287.0,1345.101,12153900032.0,13433299968.0,13911300096.0,16229.599,15553.972,14121.883,0.027866079189228038,1
2017-12-13,17500.0,17653.1,16039.7,16408.199,12976900096.0,16408.19921875,17415.4,16936.801,15455.4,1613.399,1210.201,2109.101,2624.0,1091.801,-495.6,-1509.4,-287.0,14603799552.0,12153900032.0,13433299968.0,16822.5,16099.172,14645.894,-0.05957373243077356,0
2017-12-14,16384.6,17085.801,16185.9,16564.0,13777399808.0,16564.0,16408.199,17415.4,16936.801,899.9,1613.399,1210.201,2109.101,-179.4,1091.801,-495.6,-1509.4,12976900096.0,14603799552.0,12153900032.0,16615.35,16189.684,14926.283,0.009450503424906668,1
2017-12-15,16601.301,18154.1,16601.301,17706.9,14309999616.0,17706.900390625,16564.0,16408.199,17415.4,1552.799,899.9,1613.399,1210.201,-1105.6,-179.4,1091.801,-495.6,13777399808.0,12976900096.0,14603799552.0,16589.675,16299.318,15186.85,0.06672275050137494,1
2017-12-16,17760.301,19716.699,17515.301,19497.4,12740599808.0,19497.400390625,17706.9,16564.0,16408.199,2201.398,1552.799,899.9,1613.399,-1737.1,-1105.6,-179.4,1091.801,14309999616.0,13777399808.0,12976900096.0,17148.288,16711.59,15587.799,0.09632672719671541,1
2017-12-17,19475.801,20089.0,18974.1,19140.801,13314599936.0,19140.80078125,19497.4,17706.9,16564.0,1114.9,2201.398,1552.799,899.9,335.0,-1737.1,-1105.6,-179.4,12740599808.0,14309999616.0,13777399808.0,18322.844,17527.535,16209.83,-0.01845892013095586,0
2017-12-18,19106.4,19371.0,18355.9,19114.199,14839499776.0,19114.19921875,19140.801,19497.4,17706.9,1015.1,1114.9,2201.398,1552.799,-7.799,335.0,-1737.1,-1105.6,13314599936.0,12740599808.0,14309999616.0,18731.822,18000.049,16676.158,-0.0013907497993828459,0
2017-12-19,19118.301,19177.801,17275.4,17776.699,16894499840.0,17776.69921875,19114.199,19140.801,19497.4,1902.4,1015.1,1114.9,2201.398,1341.602,-7.799,335.0,-1737.1,14839499776.0,13314599936.0,12740599808.0,18923.011,18326.376,17064.059,-0.07254290633921227,0
2017-12-20,17760.301,17934.699,16077.7,16624.6,22149699584.0,16624.599609375,17776.699,19114.199,19140.801,1856.999,1902.4,1015.1,1114.9,1135.701,1341.602,-7.799,335.0,16894499840.0,14839499776.0,13314599936.0,18349.855,18165.38,17177.443,-0.06700506450657447,0
2017-12-21,16642.4,17567.699,15342.7,15802.9,16516599808.0,15802.900390625,16624.6,17776.699,19114.199,2224.999,1856.999,1902.4,1015.1,839.5,1135.701,1341.602,-7.799,22149699584.0,16894499840.0,14839499776.0,17487.227,17714.096,17089.484,-0.05069001039219793,0
2017-12-22,15898.0,15943.4,11833.0,13831.8,22197999616.0,13831.7998046875,15802.9,16624.6,17776.699,4110.4,2224.999,1856.999,1902.4,2066.2,839.5,1135.701,1341.602,16516599808.0,22149699584.0,16894499840.0,16645.064,17154.319,16884.784,-0.1332232172821606,0
2017-12-23,13948.7,15603.2,13828.8,14699.2,13086000128.0,14699.2001953125,13831.8,15802.9,16624.6,1774.4,4110.4,2224.999,1856.999,-750.5,2066.2,839.5,1135.701,22197999616.0,16516599808.0,22149699584.0,15238.432,16181.176,16399.043,0.06082280889142556,1
2017-12-24,14608.2,14626.0,12747.7,13925.8,11572299776.0,13925.7998046875,14699.2,13831.8,15802.9,1878.3,1774.4,4110.4,2224.999,682.4,-750.5,2066.2,839.5,13086000128.0,22197999616.0,16516599808.0,14968.816,15747.115,16128.592,-0.05404986305608948,0
2017-12-25,13995.9,14593.0,13448.9,14026.6,10664699904.0,14026.599609375,13925.8,14699.2,13831.8,1144.1,1878.3,1774.4,4110.4,-30.699,682.4,-750.5,2066.2,11572299776.0,13086000128.0,22197999616.0,14447.308,15213.664,15778.12,0.007212278283202518,1
2017-12-26,14036.6,16461.199,14028.9,16099.8,13454300160.0,16099.7998046875,14026.6,13925.8,14699.2,2432.299,1144.1,1878.3,1774.4,-2063.2,-30.699,682.4,-750.5,10664699904.0,11572299776.0,13086000128.0,14236.954,14865.981,15499.447,0.1378513383721832,1
2017-12-27,16163.5,16930.9,15114.3,15838.5,12487600128.0,15838.5,16099.8,14026.6,13925.8,1816.601,2432.299,1144.1,1878.3,325.0,-2063.2,-30.699,682.4,13454300160.0,10664699904.0,11572299776.0,15168.377,15227.358,15594.965,-0.016363152489107035,0
2017-12-28,15864.1,15888.4,13937.3,14606.5,12336499712.0,14606.5,15838.5,16099.8,14026.6,1951.101,1816.601,2432.299,1144.1,1257.6,325.0,-2063.2,-30.699,12487600128.0,13454300160.0,10664699904.0,15503.438,15406.358,15633.712,-0.08097704981335378,0
2017-12-29,14695.8,15279.0,14307.0,14656.2,13025500160.0,14656.2001953125,14606.5,15838.5,16099.8,972.0,1951.101,1816.601,2432.299,39.6,1257.6,325.0,-2063.2,12336499712.0,12487600128.0,13454300160.0,15054.969,15172.085,15470.279,0.003396832333957667,1
2017-12-30,14681.9,14681.9,12350.1,12952.2,14452599808.0,12952.2001953125,14656.2,14606.5,15838.5,2331.801,972.0,1951.101,1816.601,1729.7,39.6,1257.6,325.0,13025500160.0,12336499712.0,12487600128.0,14855.585,15020.986,15340.756,-0.12359779448691187,0
2017-12-31,12897.7,14377.4,12755.6,14156.4,12136299520.0,14156.400390625,12952.2,14656.2,14606.5,1621.801,2331.801,972.0,1951.101,-1258.7,1729.7,39.6,1257.6,14452599808.0,13025500160.0,12336499712.0,13903.892,14415.052,14960.728,0.08890117328095244,1
